 ;" ";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Naravni prirast - moški";"Naravni prirast - ženske"
2005
 ;"Dobrova - Polhov Gradec";54;39;28;26;26;13
 ;"Dobrovnik/Dobronak";4;3;6;8;-2;-5
 ;"Dol pri Ljubljani";37;25;21;9;16;16
 ;"Dolenjske Toplice";15;17;19;12;-4;5
 ;"Domžale";172;186;120;122;52;64
 ;"Dornava";13;13;20;13;-7;0
 ;"Dravograd";49;49;61;64;-12;-15
 ;"Duplek";44;32;33;20;11;12
 ;"Gorenja vas - Poljane";54;56;24;27;30;29
 ;"Gorišnica";20;18;29;24;-9;-6
 ;"Gorje";17;12;15;10;2;2
 ;"Gornja Radgona";42;39;46;40;-4;-1
 ;"Gornji Grad";11;11;23;39;-12;-28
 ;"Gornji Petrovci";12;11;18;20;-6;-9
 ;"Grad";15;3;17;8;-2;-5
 ;"Grosuplje";113;128;70;68;43;60
 ;"Hajdina";21;22;16;16;5;6
 ;"Hoèe - Slivnica";60;53;48;45;12;8
 ;"Hodoš/Hodos";2;2;3;5;-1;-3
 ;"Horjul";25;8;27;32;-2;-24
 ;"Hrastnik";48;34;63;63;-15;-29
 ;"Hrpelje - Kozina";25;18;24;22;1;-4
 ;"Idrija";71;77;72;79;-1;-2
 ;"Ig";46;38;23;21;23;17
 ;"Ilirska Bistrica";66;78;84;87;-18;-9
 ;"Ivanèna Gorica";134;74;58;52;76;22
 ;"Izola/Isola";82;71;85;66;-3;5
 ;"Jesenice";106;102;124;103;-18;-1
 ;"Jezersko";6;6;3;2;3;4
 ;"Juršinci";16;12;18;18;-2;-6
 ;"Kamnik";163;195;109;126;54;69
 ;"Kanal";26;28;38;23;-12;5
 ;"Kidrièevo";28;33;35;37;-7;-4
 ;"Kobarid";29;24;23;11;6;13
 ;"Kobilje";4;8;4;3;0;5
 ;"Koèevje";81;78;87;71;-6;7
 ;"Komen";18;30;15;17;3;13
 ;"Komenda";43;30;14;11;29;19
 ;"Koper/Capodistria";277;234;231;212;46;22
 ;"Kostanjevica na Krki";8;12;13;10;-5;2
 ;"Kostel";2;1;1;3;1;-2
 ;"Kozje";11;13;33;16;-22;-3
 ;"Kranj";316;335;204;210;112;125
 ;"Kranjska Gora";18;20;39;40;-21;-20
 ;"Križevci";17;10;21;20;-4;-10
 ;"Krško";156;149;130;132;26;17
 ;"Kungota";20;18;14;14;6;4
 ;"Kuzma";7;9;13;15;-6;-6
 ;"Laško";60;71;69;77;-9;-6
 ;"Lenart";48;36;54;49;-6;-13
 ;"Lendava/Lendva";32;48;69;68;-37;-20
 ;"Litija";88;82;49;45;39;37
 ;"Ljubljana";1505;1477;1050;1192;455;285
 ;"Ljubno";14;11;14;18;0;-7
 ;"Ljutomer";47;45;66;73;-19;-28
 ;"Log - Dragomer";15;13;12;7;3;6
 ;"Logatec";89;91;53;70;36;21
 ;"Loška dolina";15;16;14;10;1;6
 ;"Loški Potok";12;8;19;20;-7;-12
 ;"Lovrenc na Pohorju";6;21;11;19;-5;2
 ;"Luèe";10;7;5;5;5;2
 ;"Lukovica";30;39;15;12;15;27
 ;"Majšperk";19;15;15;12;4;3
 ;"Makole";9;6;1;8;8;-2
 ;"Maribor";471;447;570;620;-99;-173
 ;"Markovci";32;19;24;12;8;7
 ;"Medvode";83;95;69;63;14;32
 ;"Mengeš";40;37;43;55;-3;-18
 ;"Metlika";56;43;50;60;6;-17
 ;"Mežica";13;15;20;8;-7;7
 ;"Miklavž na Dravskem polju";28;28;23;21;5;7
 ;"Miren - Kostanjevica";14;27;17;14;-3;13
 ;"Mirna";18;9;11;6;7;3
 ;"Mirna Peè";23;15;10;9;13;6
 ;"Mislinja";22;24;21;11;1;13
 ;"Mokronog - Trebelno";22;17;13;6;9;11
 ;"Moravèe";36;28;21;17;15;11
 ;"Moravske Toplice";28;25;36;35;-8;-10
 ;"Mozirje";18;14;26;15;-8;-1
 ;"Murska Sobota";88;67;111;115;-23;-48
 ;"Muta";17;21;19;19;-2;2
 ;"Naklo";29;31;25;22;4;9
 ;"Nazarje";13;9;16;13;-3;-4
 ;"Nova Gorica";157;154;156;187;1;-33
 ;"Novo mesto";226;186;148;145;78;41
 ;"Odranci";10;9;7;6;3;3
 ;"Oplotnica";28;27;18;17;10;10
 ;"Ormož";72;41;81;82;-9;-41
 ;"Osilnica";0;0;3;1;-3;-1
 ;"Pesnica";36;35;59;49;-23;-14
 ;"Piran/Pirano";76;58;103;83;-27;-25
 ;"Pivka";38;32;27;16;11;16
 ;"Podèetrtek";13;18;16;21;-3;-3
 ;"Podlehnik";9;7;12;9;-3;-2
 ;"Podvelka";11;11;13;19;-2;-8
 ;"Poljèane";23;13;36;70;-13;-57
 ;"Polzela";32;33;39;51;-7;-18
 ;"Postojna";100;96;73;67;27;29
 ;"Prebold";40;27;34;30;6;-3
 ;"Preddvor";18;10;14;29;4;-19
 ;"Prevalje";25;31;38;45;-13;-14
 ;"Ptuj";102;93;118;139;-16;-46
 ;"Puconci";32;23;31;41;1;-18
 ;"Raèe - Fram";33;34;29;25;4;9
 ;"Radeèe";17;19;30;17;-13;2
 ;"Radenci";20;13;29;43;-9;-30
 ;"Radlje ob Dravi";35;29;37;28;-2;1
 ;"Radovljica";83;89;81;98;2;-9
 ;"Ravne na Koroškem";55;42;44;38;11;4
 ;"Razkrižje";3;4;8;7;-5;-3
 ;"Reèica ob Savinji";12;12;6;9;6;3
 ;"Renèe - Vogrsko";24;25;19;18;5;7
 ;"Ribnica";63;60;53;66;10;-6
 ;"Ribnica na Pohorju";6;3;9;2;-3;1
 ;"Rogaška Slatina";52;49;42;45;10;4
 ;"Rogašovci";13;15;13;24;0;-9
 ;"Rogatec";15;19;15;11;0;8
 ;"Ruše";34;28;33;29;1;-1
 ;"Selnica ob Dravi";12;20;27;15;-15;5
 ;"Semiè";16;23;21;9;-5;14
 ;"Sevnica";73;83;111;103;-38;-20
 ;"Sežana";52;56;66;67;-14;-11
 ;"Slovenj Gradec";80;74;72;73;8;1
 ;"Slovenska Bistrica";134;128;129;80;5;48
 ;"Slovenske Konjice";77;72;57;68;20;4
 ;"Sodražica";11;8;8;10;3;-2
 ;"Solèava";3;4;0;2;3;2
 ;"Središèe ob Dravi";13;6;10;12;3;-6
 ;"Starše";14;25;20;20;-6;5
 ;"Straža";24;15;15;9;9;6
 ;"Sveta Ana";11;16;12;12;-1;4
 ;"Sveta Trojica v Slov. goricah";7;6;11;8;-4;-2
 ;"Sveti Andraž v Slov. goricah";9;6;3;4;6;2
 ;"Sveti Jurij ob Šèavnici";14;14;9;14;5;0
 ;"Sveti Jurij v Slov. goricah";9;6;10;13;-1;-7
 ;"Sveti Tomaž";8;10;11;13;-3;-3
 ;"Šalovci";5;5;13;17;-8;-12
 ;"Šempeter - Vrtojba";32;31;41;16;-9;15
 ;"Šenèur";54;48;25;24;29;24
 ;"Šentilj";37;35;52;44;-15;-9
 ;"Šentjernej";52;38;19;18;33;20
 ;"Šentjur";83;104;77;99;6;5
 ;"Šentrupert";12;14;16;21;-4;-7
 ;"Škocjan";25;20;16;23;9;-3
 ;"Škofja Loka";161;120;89;98;72;22
 ;"Škofljica";69;58;27;27;42;31
 ;"Šmarje pri Jelšah";61;50;58;86;3;-36
 ;"Šmarješke Toplice";18;15;14;26;4;-11
 ;"Šmartno ob Paki";21;12;10;13;11;-1
 ;"Šmartno pri Litiji";29;22;34;39;-5;-17
 ;"Šoštanj";41;51;51;52;-10;-1
 ;"Štore";27;24;37;53;-10;-29
 ;"Tabor";11;14;5;5;6;9
 ;"Tišina";15;19;17;20;-2;-1
 ;"Tolmin";46;63;64;102;-18;-39
 ;"Trbovlje";69;75;111;110;-42;-35
 ;"Trebnje";64;79;49;60;15;19
 ;"Trnovska vas";9;5;5;8;4;-3
 ;"Trzin";20;20;17;12;3;8
 ;"Tržiè";71;67;60;83;11;-16
 ;"Turnišèe";19;24;18;12;1;12
 ;"Velenje";171;196;119;127;52;69
 ;"Velika Polana";3;3;14;14;-11;-11
 ;"Velike Lašèe";23;24;22;11;1;13
 ;"Veržej";7;7;7;3;0;4
 ;"Videm";22;31;27;35;-5;-4
 ;"Vipava";41;36;31;30;10;6
 ;"Vitanje";15;11;10;8;5;3
 ;"Vodice";16;31;15;13;1;18
 ;"Vojnik";41;38;43;64;-2;-26
 ;"Vransko";19;5;16;21;3;-16
 ;"Vrhnika";97;98;63;67;34;31
 ;"Vuzenica";21;15;8;13;13;2
 ;"Zagorje ob Savi";97;86;82;86;15;0
 ;"Zavrè";8;3;5;6;3;-3
 ;"Zreèe";30;34;21;16;9;18
 ;"Žalec";103;113;73;63;30;50
 ;"Železniki";34;40;23;16;11;24
 ;"Žetale";2;6;7;10;-5;-4
 ;"Žiri";28;30;20;18;8;12
 ;"Žirovnica";21;23;13;19;8;4
 ;"Žužemberk";18;18;28;18;-10;0
2014
 ;"Ajdovšèina";127;106;77;86;50;20
 ;"Apaèe";18;17;27;28;-9;-11
 ;"Beltinci";39;38;42;47;-3;-9
 ;"Benedikt";8;14;9;8;-1;6
 ;"Bistrica ob Sotli";8;6;4;10;4;-4
 ;"Bled";45;45;33;34;12;11
 ;"Bloke";7;9;5;8;2;1
 ;"Bohinj";28;23;37;31;-9;-8
 ;"Borovnica";31;24;13;14;18;10
 ;"Bovec";11;13;17;19;-6;-6
 ;"Braslovèe";31;28;22;20;9;8
 ;"Brda";25;31;32;36;-7;-5
 ;"Brezovica";75;56;58;76;17;-20
 ;"Brežice";122;88;144;156;-22;-68
 ;"Cankova";8;4;12;10;-4;-6
 ;"Celje";274;234;199;233;75;1
 ;"Cerklje na Gorenjskem";53;29;24;31;29;-2
 ;"Cerknica";63;72;66;81;-3;-9
 ;"Cerkno";21;26;19;14;2;12
 ;"Cerkvenjak";13;9;13;13;0;-4
 ;"Cirkulane";11;10;10;16;1;-6
 ;"Èrenšovci";25;22;26;19;-1;3
 ;"Èrna na Koroškem";8;21;16;18;-8;3
 ;"Èrnomelj";71;63;78;89;-7;-26
 ;"Destrnik";10;10;12;15;-2;-5
 ;"Divaèa";24;13;16;15;8;-2
 ;"Dobje";5;8;2;3;3;5
 ;"Dobrepolje";17;19;25;24;-8;-5
 ;"Dobrna";10;8;12;10;-2;-2
 ;"Dobrova - Polhov Gradec";49;51;22;26;27;25
 ;"Dobrovnik/Dobronak";5;8;10;11;-5;-3
 ;"Dol pri Ljubljani";43;40;11;14;32;26
 ;"Dolenjske Toplice";20;12;13;8;7;4
 ;"Domžale";201;186;131;97;70;89
 ;"Dornava";19;12;13;12;6;0
 ;"Dravograd";58;39;43;61;15;-22
 ;"Duplek";21;40;28;17;-7;23
 ;"Gorenja vas - Poljane";60;59;27;25;33;34
 ;"Gorišnica";24;24;17;27;7;-3
 ;"Gorje";12;16;9;7;3;9
 ;"Gornja Radgona";32;30;45;43;-13;-13
 ;"Gornji Grad";12;6;32;36;-20;-30
 ;"Gornji Petrovci";9;7;13;19;-4;-12
 ;"Grad";12;9;18;12;-6;-3
 ;"Grosuplje";128;123;72;61;56;62
 ;"Hajdina";15;25;17;14;-2;11
 ;"Hoèe - Slivnica";54;49;38;35;16;14
 ;"Hodoš/Hodos";4;4;2;3;2;1
 ;"Horjul";18;16;18;37;0;-21
 ;"Hrastnik";43;41;58;58;-15;-17
 ;"Hrpelje - Kozina";19;28;21;12;-2;16
 ;"Idrija";67;60;70;81;-3;-21
 ;"Ig";32;44;21;15;11;29
 ;"Ilirska Bistrica";68;58;86;94;-18;-36
 ;"Ivanèna Gorica";113;113;57;63;56;50
 ;"Izola/Isola";87;77;82;71;5;6
 ;"Jesenice";104;103;102;103;2;0
 ;"Jezersko";1;5;4;3;-3;2
 ;"Juršinci";12;11;18;8;-6;3
 ;"Kamnik";174;181;112;121;62;60
 ;"Kanal";28;22;31;28;-3;-6
 ;"Kidrièevo";28;30;34;37;-6;-7
 ;"Kobarid";19;15;25;27;-6;-12
 ;"Kobilje";2;1;1;4;1;-3
 ;"Koèevje";97;77;70;85;27;-8
 ;"Komen";20;16;16;18;4;-2
 ;"Komenda";44;49;12;15;32;34
 ;"Koper/Capodistria";261;288;212;204;49;84
 ;"Kostanjevica na Krki";18;12;5;6;13;6
 ;"Kostel";4;2;2;4;2;-2
 ;"Kozje";15;14;17;28;-2;-14
 ;"Kranj";319;294;221;173;98;121
 ;"Kranjska Gora";25;18;34;41;-9;-23
 ;"Križevci";11;11;25;17;-14;-6
 ;"Krško";137;140;118;119;19;21
 ;"Kungota";23;19;14;13;9;6
 ;"Kuzma";13;8;14;9;-1;-1
 ;"Laško";61;51;74;99;-13;-48
 ;"Lenart";47;39;51;80;-4;-41
 ;"Lendava/Lendva";39;39;81;77;-42;-38
 ;"Litija";82;80;72;40;10;40
 ;"Ljubljana";1495;1396;1046;1143;449;253
 ;"Ljubno";17;8;10;13;7;-5
 ;"Ljutomer";46;49;65;60;-19;-11
 ;"Log - Dragomer";23;13;17;13;6;0
 ;"Logatec";97;82;52;58;45;24
 ;"Loška dolina";15;18;18;13;-3;5
 ;"Loški Potok";7;4;22;29;-15;-25
 ;"Lovrenc na Pohorju";12;20;19;14;-7;6
 ;"Luèe";10;8;7;6;3;2
 ;"Lukovica";33;44;17;16;16;28
 ;"Majšperk";23;21;13;15;10;6
 ;"Makole";9;13;4;8;5;5
 ;"Maribor";501;462;583;611;-82;-149
 ;"Markovci";20;25;17;15;3;10
 ;"Medvode";63;79;60;64;3;15
 ;"Mengeš";62;48;29;56;33;-8
 ;"Metlika";47;43;53;44;-6;-1
 ;"Mežica";12;15;12;9;0;6
 ;"Miklavž na Dravskem polju";36;40;28;21;8;19
 ;"Miren - Kostanjevica";25;28;25;14;0;14
 ;"Mirna";15;18;14;13;1;5
 ;"Mirna Peè";21;16;9;15;12;1
 ;"Mislinja";26;21;21;23;5;-2
 ;"Mokronog - Trebelno";13;15;11;13;2;2
 ;"Moravèe";23;30;13;18;10;12
 ;"Moravske Toplice";32;21;34;34;-2;-13
 ;"Mozirje";17;22;14;15;3;7
 ;"Murska Sobota";76;66;91;115;-15;-49
 ;"Muta";22;19;14;7;8;12
 ;"Naklo";27;16;26;24;1;-8
 ;"Nazarje";14;11;8;11;6;0
 ;"Nova Gorica";155;154;160;191;-5;-37
 ;"Novo mesto";237;207;169;150;68;57
 ;"Odranci";11;11;11;5;0;6
 ;"Oplotnica";17;27;15;17;2;10
 ;"Ormož";53;44;66;72;-13;-28
 ;"Osilnica";2;0;3;2;-1;-2
 ;"Pesnica";26;28;49;45;-23;-17
 ;"Piran/Pirano";77;70;63;90;14;-20
 ;"Pivka";27;28;24;27;3;1
 ;"Podèetrtek";16;16;18;17;-2;-1
 ;"Podlehnik";9;7;12;6;-3;1
 ;"Podvelka";10;14;13;13;-3;1
 ;"Poljèane";16;20;28;35;-12;-15
 ;"Polzela";26;25;25;55;1;-30
 ;"Postojna";83;89;57;81;26;8
 ;"Prebold";31;24;32;27;-1;-3
 ;"Preddvor";25;14;23;37;2;-23
 ;"Prevalje";29;31;38;54;-9;-23
 ;"Ptuj";112;82;116;114;-4;-32
 ;"Puconci";31;23;30;43;1;-20
 ;"Raèe - Fram";52;50;26;21;26;29
 ;"Radeèe";18;22;19;6;-1;16
 ;"Radenci";17;24;31;38;-14;-14
 ;"Radlje ob Dravi";34;28;31;46;3;-18
 ;"Radovljica";105;74;73;105;32;-31
 ;"Ravne na Koroškem";52;56;54;26;-2;30
 ;"Razkrižje";6;2;7;3;-1;-1
 ;"Reèica ob Savinji";12;12;10;12;2;0
 ;"Renèe - Vogrsko";21;20;21;18;0;2
 ;"Ribnica";50;57;55;46;-5;11
 ;"Ribnica na Pohorju";5;6;9;5;-4;1
 ;"Rogaška Slatina";51;56;48;53;3;3
 ;"Rogašovci";12;16;22;20;-10;-4
 ;"Rogatec";18;14;13;12;5;2
 ;"Ruše";32;25;34;24;-2;1
 ;"Selnica ob Dravi";25;21;14;25;11;-4
 ;"Semiè";20;21;11;12;9;9
 ;"Sevnica";110;80;104;119;6;-39
 ;"Sežana";57;62;75;81;-18;-19
 ;"Slovenj Gradec";93;89;67;65;26;24
 ;"Slovenska Bistrica";149;132;96;90;53;42
 ;"Slovenske Konjice";72;80;68;54;4;26
 ;"Sodražica";14;21;9;7;5;14
 ;"Solèava";0;0;3;4;-3;-4
 ;"Središèe ob Dravi";13;7;15;9;-2;-2
 ;"Starše";14;15;16;19;-2;-4
 ;"Straža";17;18;14;6;3;12
 ;"Sveta Ana";13;18;10;14;3;4
 ;"Sveta Trojica v Slov. goricah";14;7;13;12;1;-5
 ;"Sveti Andraž v Slov. goricah";5;4;0;8;5;-4
 ;"Sveti Jurij ob Šèavnici";20;17;15;12;5;5
 ;"Sveti Jurij v Slov. goricah";10;8;9;12;1;-4
 ;"Sveti Tomaž";18;11;12;13;6;-2
 ;"Šalovci";9;5;5;12;4;-7
 ;"Šempeter - Vrtojba";27;32;19;16;8;16
 ;"Šenèur";50;47;36;22;14;25
 ;"Šentilj";47;27;25;32;22;-5
 ;"Šentjernej";49;39;28;20;21;19
 ;"Šentjur";109;105;80;85;29;20
 ;"Šentrupert";9;11;21;12;-12;-1
 ;"Škocjan";21;18;11;13;10;5
 ;"Škofja Loka";117;130;89;99;28;31
 ;"Škofljica";84;67;28;22;56;45
 ;"Šmarje pri Jelšah";64;53;50;65;14;-12
 ;"Šmarješke Toplice";23;14;19;20;4;-6
 ;"Šmartno ob Paki";21;18;7;10;14;8
 ;"Šmartno pri Litiji";26;46;29;41;-3;5
 ;"Šoštanj";58;32;51;46;7;-14
 ;"Štore";16;17;38;34;-22;-17
 ;"Tabor";9;18;4;9;5;9
 ;"Tišina";16;18;19;16;-3;2
 ;"Tolmin";55;56;70;92;-15;-36
 ;"Trbovlje";73;83;107;111;-34;-28
 ;"Trebnje";93;82;53;57;40;25
 ;"Trnovska vas";15;3;9;9;6;-6
 ;"Trzin";31;23;15;10;16;13
 ;"Tržiè";71;81;59;86;12;-5
 ;"Turnišèe";25;16;13;15;12;1
 ;"Velenje";181;173;120;131;61;42
 ;"Velika Polana";5;8;17;13;-12;-5
 ;"Velike Lašèe";16;26;24;17;-8;9
 ;"Veržej";7;5;3;4;4;1
 ;"Videm";25;22;19;22;6;0
 ;"Vipava";23;21;28;44;-5;-23
 ;"Vitanje";15;18;11;11;4;7
 ;"Vodice";23;16;17;14;6;2
 ;"Vojnik";39;55;37;46;2;9
 ;"Vransko";12;14;9;21;3;-7
 ;"Vrhnika";102;85;41;75;61;10
 ;"Vuzenica";15;15;5;10;10;5
 ;"Zagorje ob Savi";82;87;83;83;-1;4
 ;"Zavrè";7;9;6;5;1;4
 ;"Zreèe";50;31;33;11;17;20
 ;"Žalec";104;100;79;71;25;29
 ;"Železniki";39;29;24;20;15;9
 ;"Žetale";6;8;13;7;-7;1
 ;"Žiri";24;19;16;15;8;4
 ;"Žirovnica";21;21;19;18;2;3
 ;"Žužemberk";36;28;22;16;14;12


