 ;" ";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Naravni prirast - moški";"Naravni prirast - ženske"
2005
 ;"Braslovèe";24;17;16;22;8;-5
 ;"Brda";15;25;36;21;-21;4
 ;"Brezovica";55;61;38;38;17;23
 ;"Brežice";106;98;143;156;-37;-58
 ;"Cankova";7;7;15;12;-8;-5
 ;"Celje";233;206;214;251;19;-45
 ;"Cerklje na Gorenjskem";45;34;20;20;25;14
 ;"Cerknica";44;58;58;46;-14;12
 ;"Cerkno";27;25;22;30;5;-5
 ;"Cerkvenjak";10;6;13;13;-3;-7
 ;"Cirkulane";-;-;-;-;-;-
 ;"Èrenšovci";15;22;29;32;-14;-10
 ;"Èrna na Koroškem";13;12;19;17;-6;-5
 ;"Èrnomelj";55;62;83;75;-28;-13
 ;"Destrnik";10;7;12;12;-2;-5
 ;"Divaèa";21;17;27;19;-6;-2
 ;"Dobje";9;6;7;8;2;-2
 ;"Dobrepolje";21;19;14;24;7;-5
 ;"Dobrna";9;9;8;7;1;2
 ;"Dobrova - Polhov Gradec";40;30;24;25;16;5
 ;"Dobrovnik/Dobronak";9;5;8;11;1;-6
 ;"Dol pri Ljubljani";28;41;15;14;13;27
 ;"Dolenjske Toplice";24;17;11;12;13;5
 ;"Domžale";190;171;93;85;97;86
 ;"Dornava";9;12;11;14;-2;-2
 ;"Dravograd";46;52;41;30;5;22
 ;"Duplek";25;31;39;28;-14;3
 ;"Gorenja vas - Poljane";62;37;32;20;30;17
 ;"Gorišnica";21;30;31;32;-10;-2
 ;"Gorje";-;-;-;-;-;-
 ;"Gornja Radgona";49;42;65;46;-16;-4
 ;"Gornji Grad";12;16;13;23;-1;-7
 ;"Gornji Petrovci";10;5;12;24;-2;-19
 ;"Grad";9;8;11;12;-2;-4
 ;"Grosuplje";128;102;54;68;74;34
 ;"Hajdina";17;18;18;18;-1;0
 ;"Hoèe - Slivnica";46;60;54;56;-8;4
 ;"Hodoš/Hodos";1;2;3;4;-2;-2
 ;"Horjul";21;12;9;6;12;6
 ;"Hrastnik";39;37;37;37;2;0
 ;"Hrpelje - Kozina";14;18;28;27;-14;-9
 ;"Idrija";43;52;51;57;-8;-5
 ;"Ig";46;30;28;22;18;8
 ;"Ilirska Bistrica";59;62;69;65;-10;-3
 ;"Ivanèna Gorica";88;60;68;64;20;-4
 ;"Izola/Isola";71;54;84;70;-13;-16
 ;"Jesenice";118;90;101;78;17;12
 ;"Jezersko";5;2;3;4;2;-2
 ;"Juršinci";10;11;15;15;-5;-4
 ;"Kamnik";182;146;119;93;63;53
 ;"Kanal";24;12;37;41;-13;-29
 ;"Kidrièevo";28;26;42;32;-14;-6
 ;"Kobarid";15;15;24;28;-9;-13
 ;"Kobilje";1;3;1;5;0;-2
 ;"Koèevje";64;68;84;68;-20;0
 ;"Komen";13;17;25;17;-12;0
 ;"Komenda";36;30;11;18;25;12
 ;"Koper/Capodistria";211;198;235;175;-24;23
 ;"Kostanjevica na Krki";-;-;-;-;-;-
 ;"Kostel";1;2;4;3;-3;-1
 ;"Kozje";11;20;17;20;-6;0
 ;"Kranj";268;287;199;200;69;87
 ;"Kranjska Gora";19;23;35;27;-16;-4
 ;"Križevci";15;17;11;21;4;-4
 ;"Krško";147;157;137;134;10;23
 ;"Kungota";16;23;31;32;-15;-9
 ;"Kuzma";4;6;11;12;-7;-6
 ;"Laško";68;45;74;84;-6;-39
 ;"Lenart";46;50;42;58;4;-8
 ;"Lendava/Lendva";42;42;63;61;-21;-19
 ;"Litija";88;66;52;60;36;6
 ;"Ljubljana";1308;1210;1163;1196;145;14
 ;"Ljubno";17;14;14;12;3;2
 ;"Ljutomer";59;52;71;56;-12;-4
 ;"Log - Dragomer";-;-;-;-;-;-
 ;"Logatec";76;73;45;34;31;39
 ;"Loška dolina";18;28;18;16;0;12
 ;"Loški Potok";8;12;11;12;-3;0
 ;"Lovrenc na Pohorju";15;9;15;16;0;-7
 ;"Luèe";9;8;11;6;-2;2
 ;"Lukovica";29;25;13;19;16;6
 ;"Majšperk";23;17;24;23;-1;-6
 ;"Makole";-;-;-;-;-;-
 ;"Maribor";465;416;595;573;-130;-157
 ;"Markovci";14;20;18;16;-4;4
 ;"Medvode";85;67;67;57;18;10
 ;"Mengeš";48;50;20;25;28;25
 ;"Metlika";42;33;37;38;5;-5
 ;"Mežica";14;17;16;15;-2;2
 ;"Miklavž na Dravskem polju";18;30;25;28;-7;2
 ;"Miren - Kostanjevica";24;25;26;26;-2;-1
 ;"Mirna";-;-;-;-;-;-
 ;"Mirna Peè";16;14;10;14;6;0
 ;"Mislinja";21;29;20;20;1;9
 ;"Mokronog - Trebelno";-;-;-;-;-;-
 ;"Moravèe";32;27;19;10;13;17
 ;"Moravske Toplice";31;18;49;32;-18;-14
 ;"Mozirje";39;22;29;36;10;-14
 ;"Murska Sobota";84;84;92;87;-8;-3
 ;"Muta";13;19;15;14;-2;5
 ;"Naklo";38;23;9;18;29;5
 ;"Nazarje";14;9;11;17;3;-8
 ;"Nova Gorica";163;166;181;166;-18;0
 ;"Novo mesto";260;219;180;136;80;83
 ;"Odranci";9;4;14;7;-5;-3
 ;"Oplotnica";14;14;19;13;-5;1
 ;"Ormož";79;85;111;83;-32;2
 ;"Osilnica";2;1;2;5;0;-4
 ;"Pesnica";29;25;23;27;6;-2
 ;"Piran/Pirano";65;50;67;60;-2;-10
 ;"Pivka";29;22;38;28;-9;-6
 ;"Podèetrtek";11;15;25;31;-14;-16
 ;"Podlehnik";6;6;12;7;-6;-1
 ;"Podvelka";12;15;23;15;-11;0
 ;"Poljèane";-;-;-;-;-;-
 ;"Polzela";30;31;22;18;8;13
 ;"Postojna";62;83;67;70;-5;13
 ;"Prebold";28;15;29;24;-1;-9
 ;"Preddvor";16;14;16;5;0;9
 ;"Prevalje";32;25;36;33;-4;-8
 ;"Ptuj";102;92;101;100;1;-8
 ;"Puconci";22;26;45;44;-23;-18
 ;"Raèe - Fram";25;27;29;31;-4;-4
 ;"Radeèe";13;16;26;23;-13;-7
 ;"Radenci";22;13;29;21;-7;-8
 ;"Radlje ob Dravi";37;32;26;29;11;3
