Ajdovsčina
 ;"2010";11;14;31;42;-20;-28;9.4;27.3;-18.0
 ;"2011";15;13;18;52;-3;-39;10.5;26.3;-15.8
 ;"2012";14;19;30;42;-16;-23;12.4;27.0;-14.6
 ;"2013";11;11;23;39;-12;-28;8.4;23.7;-15.3
 ;"2014";12;6;32;36;-20;-30;6.9;26.1;-19.2
Gornji PetrovCi
 ;"2010";8;7;11;19;-3;-12;6.9;13.8;-6.9
 ;"2011";11;6;12;18;-1;-12;7.8;13.8;-6.0
 ;"2012";12;10;6;15;6;-5;10.3;9.8;0.5
 ;"2013";12;11;18;20;-6;-9;10.8;17.9;-7.1
 ;"2014";9;7;13;19;-4;-12;7.6;15.2;-7.6
Grad
 ;"2010";6;15;15;16;-9;-1;9.3;13.8;-4.4
 ;"2011";8;6;14;16;-6;-10;6.2;13.4;-7.1
 ;"2012";10;14;9;11;1;3;10.9;9.1;1.8
 ;"2013";15;3;17;8;-2;-5;8.1;11.3;-3.2
 ;"2014";12;9;18;12;-6;-3;9.6;13.7;-4.1
Grosuplje
 ;"2010";114;136;60;58;54;78;13.1;6.2;6.9
 ;"2011";140;138;72;75;68;63;14.4;7.6;6.8
 ;"2012";107;119;62;87;45;32;11.5;7.6;3.9
 ;"2013";113;128;70;68;43;60;12.2;7.0;5.2
 ;"2014";128;123;72;61;56;62;12.6;6.7;5.9
Hajdina
 ;"2010";20;22;20;17;0;5;11.3;9.9;1.3
 ;"2011";18;17;13;11;5;6;9.4;6.4;2.9
 ;"2012";22;20;6;13;16;7;11.2;5.1;6.2
 ;"2013";21;22;16;16;5;6;11.5;8.6;2.9
 ;"2014";15;25;17;14;-2;11;10.6;8.2;2.4
Hoče - SlivniCa
 ;"2010";57;63;51;37;6;26;11.0;8.1;2.9
 ;"2011";47;44;58;27;-11;17;8.3;7.8;0.6
 ;"2012";57;47;34;39;23;8;9.4;6.6;2.8
 ;"2013";60;53;48;45;12;8;10.1;8.3;1.8
 ;"2014";54;49;38;35;16;14;9.1;6.5;2.7
Hodos/Hodos
 ;"2010";3;1;3;2;0;-1;12.8;16.0;-3.2
 ;"2011";0;0;3;1;-3;-1;0.0;12.5;-12.5
 ;"2012";1;1;1;3;0;-2;5.2;10.5;-5.2
 ;"2013";2;2;3;5;-1;-3;11.0;22.1;-11.0
 ;"2014";4;4;2;3;2;1;21.5;13.4;8.1
Horjul
 ;"2010";15;21;15;12;0;9;12.5;9.4;3.1
 ;"2011";19;18;14;20;5;-2;12.9;11.8;1.0
 ;"2012";23;23;11;23;12;0;15.9;11.8;4.1
 ;"2013";25;8;27;32;-2;-24;11.3;20.2;-8.9
 ;"2014";18;16;18;37;0;-21;11.5;18.6;-7.1
Hrastnik
 ;"2010";35;43;61;51;-26;-8;7.8;11.2;-3.4
 ;"2011";46;39;59;64;-13;-25;8.5;12.4;-3.8
 ;"2012";47;31;42;60;5;-29;7.9;10.4;-2.4
 ;"2013";48;34;63;63;-15;-29;8.5;13.1;-4.6
 ;"2014";43;41;58;58;-15;-17;8.8;12.2;-3.4
Hrpelje - Kozina
 ;"2010";20;20;25;23;-5;-3;9.6;11.5;-1.9
 ;"2011";23;26;20;15;3;11;11.5;8.2;3.3
 ;"2012";19;20;15;23;4;-3;9.1;8.9;0.2
 ;"2013";25;18;24;22;1;-4;10.1;10.8;-0.7
 ;"2014";19;28;21;12;-2;16;11.0;7.7;3.3
Idrija
 ;"2010";53;62;68;82;-15;-20;9.6;12.6;-2.9
 ;"2011";77;80;67;74;10;6;13.1;11.8;1.3
 ;"2012";59;54;70;90;-11;-36;9.4;13.4;-3.9
 ;"2013";71;77;72;79;-1;-2;12.3;12.6;-0.3
 ;"2014";67;60;70;81;-3;-21;10.6;12.6;-2.0
Ig
 ;"2010";42;41;16;22;26;19;12.3;5.7;6.7
 ;"2011";36;36;23;18;13;18;10.5;6.0;4.5
 ;"2012";50;42;23;14;27;28;13.2;5.3;7.9
 ;"2013";46;38;23;21;23;17;12.0;6.3;5.7
 ;"2014";32;44;21;15;11;29;10.7;5.1;5.6
Ilirska BistriCa
 ;"2010";66;67;89;79;-23;-12;9.6;12.1;-2.5
 ;"2011";62;74;67;90;-5;-16;9.8;11.3;-1.5
 ;"2012";65;55;77;90;-12;-35;8.7;12.1;-3.4
 ;"2013";66;78;84;87;-18;-9;10.4;12.3;-1.9
 ;"2014";68;58;86;94;-18;-36;9.1;13.1;-3.9
Ivančna GoriCa
 ;"2010";103;102;47;50;56;52;13.4;6.3;7.0
 ;"2011";126;96;64;48;62;48;14.2;7.2;7.0
 ;"2012";107;86;66;59;41;27;12.2;7.9;4.3
 ;"2013";134;74;58;52;76;22;13.1;6.9;6.2
 ;"2014";113;113;57;63;56;50;14.1;7.5;6.6
Izola/Isola
 ;"2010";98;114;77;67;21;47;13.4;9.1;4.3
 ;"2011";71;71;77;73;-6;-2;8.9;9.4;-0.5
 ;"2012";77;93;99;98;-22;-5;10.7;12.4;-1.7
 ;"2013";82;71;85;66;-3;5;9.6;9.5;0.1
 ;"2014";87;77;82;71;5;6;10.4;9.7;0.7
JeseniCe
 ;"2010";129;100;113;112;16;-12;10.6;10.4;0.2
 ;"2011";113;95;114;91;-1;4;9.6;9.5;0.1
 ;"2012";114;102;99;98;15;4;10.1;9.2;0.9
 ;"2013";106;102;124;103;-18;-1;9.8;10.7;-0.9
 ;"2014";104;103;102;103;2;0;9.8;9.7;0.1
Jezersko
 ;"2010";3;7;2;7;1;0;14.9;13.4;1.5
 ;"2011";4;2;8;5;-4;-3;9.1;19.7;-10.6
 ;"2012";3;2;2;4;1;-2;7.9;9.4;-1.6
 ;"2013";6;6;3;2;3;4;18.8;7.8;10.9
 ;"2014";1;5;4;3;-3;2;9.3;10.8;-1.5
JursinCi
 ;"2010";16;20;10;13;6;7;15.5;9.9;5.6
 ;"2011";11;10;12;8;-1;2;8.9;8.5;0.4
 ;"2012";9;15;7;18;2;-3;10.0;10.4;-0.4
 ;"2013";16;12;18;18;-2;-6;11.8;15.1;-3.4
 ;"2014";12;11;18;8;-6;3;9.6;10.9;-1.3
Kamnik
 ;"2010";207;188;113;119;94;69;13.6;8.0;5.6
 ;"2011";190;215;111;106;79;109;14.0;7.5;6.5
 ;"2012";180;199;132;116;48;83;13.0;8.5;4.5
 ;"2013";163;195;109;126;54;69;12.2;8.0;4.2
 ;"2014";174;181;112;121;62;60;12.1;7.9;4.1
Kanal
 ;"2010";37;26;28;24;9;2;10.9;9.0;1.9
 ;"2011";34;19;22;33;12;-14;9.3;9.6;-0.4
 ;"2012";28;23;43;26;-15;-3;9.0;12.2;-3.2
 ;"2013";26;28;38;23;-12;5;9.6;10.9;-1.2
 ;"2014";28;22;31;28;-3;-6;9.0;10.7;-1.6
Kidričevo
 ;"2010";33;32;36;31;-3;1;9.7;10.0;-0.3
 ;"2011";25;37;31;37;-6;0;9.3;10.2;-0.9
 ;"2012";35;32;30;23;5;9;10.1;8.0;2.1
 ;"2013";28;33;35;37;-7;-4;9.2;10.9;-1.7
 ;"2014";28;30;34;37;-6;-7;8.9;10.9;-2.0
Kobarid
 ;"2010";28;15;20;22;8;-7;10.2;10.0;0.2
 ;"2011";23;24;22;21;1;3;11.3;10.3;1.0
 ;"2012";28;20;17;27;11;-7;11.4;10.5;1.0
 ;"2013";29;24;23;11;6;13;12.6;8.1;4.5
 ;"2014";19;15;25;27;-6;-12;8.2;12.5;-4.3
Kobilje
 ;"2010";8;3;2;5;6;-2;18.0;11.5;6.6
 ;"2011";4;1;1;4;3;-3;7.9;7.9;0.0
 ;"2012";2;1;2;4;0;-3;5.0;9.9;-5.0
 ;"2013";4;8;4;3;0;5;20.5;12.0;8.6
 ;"2014";2;1;1;4;1;-3;5.1;8.5;-3.4
Kočevje
 ;"2010";97;100;74;77;23;23;11.9;9.1;2.8
 ;"2011";95;100;87;68;8;32;11.8;9.4;2.4
 ;"2012";102;82;106;80;-4;2;11.2;11.3;-0.1
 ;"2013";81;78;87;71;-6;7;9.8;9.7;0.1
 ;"2014";97;77;70;85;27;-8;10.8;9.6;1.2
Komen
 ;"2010";19;20;6;11;13;9;11.0;4.8;6.2
 ;"2011";15;18;17;12;-2;6;9.3;8.2;1.1
 ;"2012";24;25;14;13;10;12;13.8;7.6;6.2
 ;"2013";18;30;15;17;3;13;13.5;9.0;4.5
 ;"2014";20;16;16;18;4;-2;10.2;9.7;0.6
Komenda
 ;"2010";46;52;13;20;33;32;18.2;6.1;12.1
 ;"2011";58;48;12;12;46;36;18.9;4.3;14.6
 ;"2012";39;47;18;21;21;26;15.0;6.8;8.2
 ;"2013";43;30;14;11;29;19;12.5;4.3;8.2
 ;"2014";44;49;12;15;32;34;15.8;4.6;11.2
Koper/Capodistria
 ;"2010";282;252;229;192;53;60;10.2;8.0;2.2
 ;"2011";284;257;242;209;42;48;10.2;8.5;1.7
 ;"2012";285;279;196;209;89;70;10.6;7.6;3.0
 ;"2013";277;234;231;212;46;22;9.5;8.3;1.3
 ;"2014";261;288;212;204;49;84;10.1;7.7;2.4
